,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,Tu,5/26/2020,8.22,9,8.22,8.9,6.7983,6.8423,7.1841,188.781k,151.108k
,,,,,,,,,,,
,Fr,5/22/2020,8.25,8.26,8.02,8.17,6.7033,6.8279,7.174,101.056k,145.49k
,Th,5/21/2020,7.95,8.35,7.8622,8.1,6.6293,6.8195,7.17,423.595k,147.358k
,We,5/20/2020,7.78,8,7.76,8,6.5705,6.8119,7.1649,84162,130.074k
,Tu,5/19/2020,7.95,7.99,7.65,7.65,6.5189,6.807,7.1596,124.981k,137.808k
,Mo,5/18/2020,7.67,7.99,7.67,7.92,6.4733,6.8045,7.1585,130.551k,143.623k
,,,,,,,,,,,
,Fr,5/15/2020,7.53,7.76,7.1967,7.53,6.4309,6.8019,7.1586,109.581k,150.665k
,Th,5/14/2020,7.42,7.71,7.13,7.55,6.4015,6.7992,7.1607,71060,145.582k
,We,5/13/2020,7.65,7.76,7.3,7.53,6.3795,6.7982,7.164,57647,143.329k
,Tu,5/12/2020,7.46,7.765,7.44,7.59,6.3577,6.7956,7.1673,128.517k,143.027k
,Mo,5/11/2020,7.16,7.62,7.16,7.42,6.3371,6.7916,7.1708,105.216k,141.293k
,,,,,,,,,,,
,Fr,5/8/2020,8,8.4,7.17,7.26,6.3107,6.7874,7.1746,490.866k,140.297k
,Th,5/7/2020,7.87,7.98,7.63,7.93,6.2941,6.7838,7.1795,78172,115.438k
,We,5/6/2020,7.95,8,7.78,8,6.2671,6.774,7.1792,70365,116.049k
,Tu,5/5/2020,7.67,8,7.63,8,6.2401,6.7628,7.1788,102.068k,116.706k
,Mo,5/4/2020,7.25,7.72,6.87,7.67,6.2241,6.7518,7.1776,104.509k,116.404k
,,,,,,,,,,,
,Fr,5/1/2020,7.72,7.84,7.12,7.3,6.2137,6.7426,7.1785,129.082k,114.87k
,Th,4/30/2020,7.9,7.9,7.525,7.77,6.2169,6.7371,7.1821,164.34k,112.061k
,We,4/29/2020,8,8,7.73,8,6.2081,6.7269,7.1842,200.161k,106.625k
,Tu,4/28/2020,7.44,8,7.22,7.93,6.1947,6.7134,7.1851,212.21k,98236
,Mo,4/27/2020,6.78,7.49,6.64,7.32,6.1825,6.7015,7.1864,236.188k,92293
,,,,,,,,,,,
,Fr,4/24/2020,6.72,6.72,6.3,6.6,6.1815,6.6958,7.1919,33328,83048
,Th,4/23/2020,6.63,6.6801,6.54,6.65,6.1951,6.6981,7.2009,37260,86819
,We,4/22/2020,6.54,6.59,6.3211,6.58,6.2073,6.7008,7.2112,53121,88480
,Tu,4/21/2020,6.29,6.53,6.2,6.27,6.2157,6.705,7.2216,102.511k,89989
,Mo,4/20/2020,6.24,6.79,6.21,6.42,6.2293,6.7122,7.234,90271,87786
,,,,,,,,,,,
,Fr,4/17/2020,6.43,6.49,6.17,6.24,6.2407,6.7159,7.2463,117.978k,86605
,Th,4/16/2020,6.58,6.66,6.2,6.36,6.2583,6.7208,7.2601,87338,84416
,We,4/15/2020,6.7,6.73,6.32,6.62,6.2721,6.7259,7.2757,80220,87335
,Tu,4/14/2020,6.64,6.92,6.4338,6.85,6.2811,6.729,7.2892,97549,87984
,Mo,4/13/2020,7.08,7.08,6.52,6.61,6.2839,6.7311,7.2961,81495,87960
,,,,,,,,,,,
,Th,4/9/2020,6.9,7.1,6.8,7.08,6.2909,6.7341,7.3032,86947,90210
,We,4/8/2020,6.9,6.9,6.72,6.84,6.2925,6.7341,7.3065,82795,90705
,Tu,4/7/2020,7.29,7.29,6.7,6.89,6.3003,6.7353,7.3093,74322,97609
,Mo,4/6/2020,6.85,7.19,6.34,7.16,6.3041,6.7359,7.3128,123.069k,99734
,,,,,,,,,,,
,Fr,4/3/2020,6.25,6.7,6.25,6.7,6.3109,6.7339,7.3148,97513,102.977k
,Th,4/2/2020,5.97,6.74,5.97,6.24,6.3211,6.737,7.3183,89896,108.271k
,We,4/1/2020,6.16,6.24,5.795,5.9,6.3409,6.7453,7.3239,62171,108.635k
,Tu,3/31/2020,6.59,6.86,6.28,6.39,6.3659,6.7585,7.3303,75763,111.207k
,Mo,3/30/2020,6.13,6.54,6.0713,6.52,6.3791,6.7696,7.3336,69462,109.579k
,,,,,,,,,,,
,Fr,3/27/2020,5.74,6.14,5.5295,6.08,6.3901,6.7744,7.3374,72555,113.956k
,Th,3/26/2020,5.77,5.99,5.655,5.92,6.4221,6.7812,7.3426,85139,116.884k
,We,3/25/2020,5.74,6.15,5.4,5.73,6.4588,6.7892,7.3502,131.131k,117.592k
,Tu,3/24/2020,5.32,5.6952,5.23,5.43,6.4972,6.7981,7.3584,89954,110.107k
,Mo,3/23/2020,5.82,5.984,4.88,4.99,6.5462,6.8135,7.3692,97184,106.683k
,,,,,,,,,,,
,Fr,3/20/2020,5.18,5.48,4.85,5.4,6.5992,6.8344,7.3816,115.246k,105.093k
,Th,3/19/2020,4.63,5.19,4.63,5.05,6.6432,6.8498,7.3935,94373,104.22k
,We,3/18/2020,4.57,4.7046,4.1936,4.52,6.692,6.8676,7.4073,186.361k,104.179k
,Tu,3/17/2020,4.03,4.68,3.95,4.485,6.7518,6.8935,7.4227,106.189k,98143
,Mo,3/16/2020,3.77,4.1897,3.55,3.85,6.8115,6.9174,7.4401,171.715k,97192
,,,,,,,,,,,
,Fr,3/13/2020,4.47,4.7,4.13,4.15,6.8863,6.9478,7.4613,176.93k,88444
,Th,3/12/2020,4.82,4.9,4.18,4.47,6.9525,6.9729,7.481,95355,78509
,We,3/11/2020,5.42,5.43,5.06,5.16,7.0097,6.9953,7.4988,100.742k,76302
,Tu,3/10/2020,5.68,5.68,5.3,5.42,7.0533,7.0093,7.5134,51348,72807
,Mo,3/9/2020,5.49,5.5912,5.03,5.37,7.0951,7.0224,7.5274,135.122k,70659
,,,,,,,,,,,
,Fr,3/6/2020,6,6.0003,5.72,5.8,7.1357,7.038,7.5423,116.472k,63465
,Th,3/5/2020,6.29,6.3964,6,6.06,7.1729,7.0512,7.5549,95751,57076
,We,3/4/2020,6.47,6.62,6.29,6.45,7.1969,7.0729,7.5649,18859,53284
,Tu,3/3/2020,6.69,6.86,6.34,6.44,7.2169,7.0912,7.5739,38603,55887
,Mo,3/2/2020,6.08,7.09,6.0633,6.56,7.2335,7.1079,7.583,73335,54524
,,,,,,,,,,,
,Fr,2/28/2020,6.11,6.33,6.02,6.1,7.2461,7.1231,7.5914,102.147k,52152
,Th,2/27/2020,6.71,7.2463,6.22,6.43,7.2641,7.1424,7.6023,93760,46323
,We,2/26/2020,6.61,6.86,6.41,6.58,7.2735,7.159,7.6103,95814,41979
,Tu,2/25/2020,7.11,7.11,6.56,6.65,7.2809,7.1736,7.6187,91928,37062
,Mo,2/24/2020,7.1,7.35,6.8735,7.2,7.2855,7.1905,7.628,40501,32210
,,,,,,,,,,,
,Fr,2/21/2020,7.4,7.55,7.15,7.15,7.2795,7.207,7.6317,27893,32300
,Th,2/20/2020,7.26,7.6885,7.26,7.46,7.2715,7.2217,7.6372,62248,35601
,We,2/19/2020,7.34,7.53,7.2355,7.33,7.2573,7.2298,7.6428,48331,32811
,Tu,2/18/2020,7.25,7.37,7.21,7.33,7.2457,7.2434,7.6502,19126,31572
,,,,,,,,,,,
,Fr,2/14/2020,7.33,7.38,7.21,7.32,7.2321,7.2559,7.6558,27200,37036
,Th,2/13/2020,7.2,7.34,7.14,7.27,7.2205,7.2717,7.6635,20642,38004
,We,2/12/2020,7.29,7.34,7.05,7.28,7.2101,7.2905,7.6715,38873,39127
,Tu,2/11/2020,7.01,7.38,7.01,7.26,7.2011,7.3088,7.6794,57899,40010
,Mo,2/10/2020,6.93,7.06,6.8,7,7.1943,7.3245,7.6876,18170,37695
,,,,,,,,,,,
,Fr,2/7/2020,6.96,7.0269,6.9,6.95,7.1943,7.3443,7.6961,37747,40439
,Th,2/6/2020,7.1,7.1,6.95,6.99,7.1951,7.3647,7.7063,14710,47919
,We,2/5/2020,7.07,7.29,7.01,7.12,7.1911,7.3849,7.7168,28606,51110
,Tu,2/4/2020,7.1,7.1515,7.04,7.05,7.1833,7.4068,7.7251,22055,51425
,Mo,2/3/2020,7,7.15,6.98,7.07,7.1797,7.4296,7.735,19154,53463
,,,,,,,,,,,
,Fr,1/31/2020,6.91,7,6.875,6.99,7.1769,7.449,7.7441,41852,55886
,Th,1/30/2020,7.11,7.15,6.87,6.96,7.1783,7.4713,7.7526,77400,56173
,We,1/29/2020,7.17,7.2989,7.1,7.16,7.1773,7.4924,7.7594,20405,53455
,Tu,1/28/2020,7.1,7.32,7.1,7.23,7.1757,7.509,7.7648,29740,53667
,Mo,1/27/2020,7.35,7.44,7.07,7.08,7.1703,7.5276,7.7709,101.08k,54247
,,,,,,,,,,,
,Fr,1/24/2020,7.19,7.5,7.12,7.5,7.1677,7.5429,7.7783,41734,49050
,Th,1/23/2020,7.25,7.31,7.13,7.21,7.1569,7.55,7.7836,37483,49407
,We,1/22/2020,7.25,7.35,7.114,7.23,7.1529,7.5578,7.7919,52114,49796
,Tu,1/21/2020,7.05,7.2,7.05,7.15,7.1497,7.5617,7.8007,23173,50033
,,,,,,,,,,,
,Fr,1/17/2020,7.06,7.27,7.02,7.05,7.1511,7.5651,7.8095,59329,51720
,Th,1/16/2020,7.68,7.7,7.07,7.07,7.1601,7.5694,7.8206,149.946k,50550
,We,1/15/2020,7.69,7.8838,7.55,7.68,7.1587,7.5712,7.8305,62573,42863
,Tu,1/14/2020,7.66,7.8431,7.61,7.755,7.1403,7.5666,7.8365,33344,46698
,Mo,1/13/2020,7.85,7.945,7.65,7.65,7.1196,7.5618,7.8402,52624,50972
,,,,,,,,,,,
,Fr,1/10/2020,7.66,7.891,7.51,7.88,7.099,7.5592,7.8444,55499,51352
,Th,1/9/2020,7.67,7.77,7.56,7.64,7.0808,7.5541,7.8474,46156,52063
,We,1/8/2020,7.54,7.69,7.53,7.6,7.0696,7.5519,7.8524,36627,52514
,Tu,1/7/2020,7.47,7.5497,7.3905,7.49,7.0564,7.5447,7.8566,23577,53311
,Mo,1/6/2020,7.38,7.55,7.2201,7.51,7.0432,7.5395,7.8629,38444,53572
,,,,,,,,,,,
,Fr,1/3/2020,7.48,7.57,7.42,7.47,7.0352,7.5371,7.8735,23133,54275
,Th,1/2/2020,7.52,7.599,7.4108,7.59,7.0234,7.5335,7.8846,47090,54761
,Tu,12/31/2019,7.3,7.5,7.21,7.46,7.0092,7.5258,7.8958,43315,55640
,Mo,12/30/2019,7.4,7.51,7.23,7.33,6.9934,7.5202,7.9073,55666,54390
,,,,,,,,,,,
,Fr,12/27/2019,7.53,7.56,7.32,7.34,6.981,7.5205,7.9213,48484,54988
,Th,12/26/2019,7.42,7.5419,7.3145,7.51,6.9652,7.5178,7.9374,41766,55035
,Tu,12/24/2019,7.62,7.69,7.38,7.4,6.9498,7.5121,7.947,34648,54843
,Mo,12/23/2019,7.23,7.68,7.1858,7.66,6.9402,7.5126,7.9591,120.098k,54832
,,,,,,,,,,,
,Fr,12/20/2019,7.42,7.4244,7.17,7.26,6.9296,7.5153,7.9704,97454,50920
,Th,12/19/2019,7.29,7.5,7.29,7.45,6.9488,7.5223,7.9813,58318,45245
,We,12/18/2019,7.15,7.49,7.0149,7.27,6.9656,7.5298,7.9918,66173,43847
,Tu,12/17/2019,7,7.25,6.99,7.19,6.9822,7.5389,8.0056,52923,44190
,Mo,12/16/2019,6.92,7.04,6.88,7,7,7.55,8.0209,48583,43069
,,,,,,,,,,,
,Fr,12/13/2019,6.88,6.97,6.87,6.9,7.0208,7.5618,8.0377,27478,41535
,Th,12/12/2019,6.92,6.9714,6.86,6.95,7.0446,7.5751,8.0563,48995,41742
,We,12/11/2019,6.87,6.98,6.8128,6.88,7.0662,7.5845,8.0779,30428,43150
,Tu,12/10/2019,6.75,6.96,6.75,6.9,7.0954,7.5948,8.0992,60266,42277
,Mo,12/9/2019,6.77,6.83,6.65,6.75,7.1344,7.6035,8.1219,24564,41986
,,,,,,,,,,,
,Fr,12/6/2019,6.8,6.94,6.74,6.75,7.1718,7.6145,8.1459,64641,42450
,Th,12/5/2019,6.7,6.875,6.66,6.75,7.2022,7.627,8.1701,49197,43692
,We,12/4/2019,6.81,6.81,6.6,6.65,7.241,7.6416,8.1937,38879,43800
,Tu,12/3/2019,6.67,6.74,6.5251,6.74,7.2798,7.6567,8.2175,34485,43597
,Mo,12/2/2019,6.79,6.89,6.7,6.75,7.323,7.6713,8.2396,61416,50163
,,,,,,,,,,,
,Fr,11/29/2019,6.81,6.99,6.78,6.83,7.3708,7.688,8.261,12327,63610
,We,11/27/2019,7,7,6.73,6.92,7.4164,7.7036,8.2811,37355,66842
,Tu,11/26/2019,6.97,7,6.71,7,7.4546,7.7216,8.3011,71319,73037
,Mo,11/25/2019,6.8,7,6.8,6.99,7.4944,7.7382,8.3204,36098,76813
,,,,,,,,,,,
,Fr,11/22/2019,6.7,6.8881,6.7,6.79,7.5344,7.7559,8.3383,25581,81119
,Th,11/21/2019,7.02,7.02,6.69,6.73,7.5786,7.7767,8.3541,30572,86062
,We,11/20/2019,6.85,7.02,6.78,6.87,7.6302,7.7994,8.3698,70118,89110
,Tu,11/19/2019,6.72,7.07,6.72,6.93,7.6794,7.8254,8.3849,17330,89271
,Mo,11/18/2019,6.82,7.07,6.73,7.06,7.7212,7.8493,8.3988,55906,91904
,,,,,,,,,,,
,Fr,11/15/2019,7.04,7.1,6.9,6.91,7.7642,7.861,8.4114,31521,91927
,Th,11/14/2019,6.92,7.105,6.8,7.08,7.8074,7.8723,8.4218,83279,97293
,We,11/13/2019,6.87,6.97,6.72,6.96,7.8424,7.8789,8.4313,50809,94301
,Tu,11/12/2019,6.88,7.11,6.88,6.95,7.885,7.8833,8.4392,35843,95509
,Mo,11/11/2019,6.89,7.26,6.655,6.96,7.918,7.8898,8.4462,132.973k,98007
,,,,,,,,,,,
,Fr,11/8/2019,6.76,7.2765,6.45,7.01,7.9432,7.8958,8.4516,263.115k,93330
,Th,11/7/2019,7.33,7.4,7.04,7.07,7.9628,7.8997,8.4551,60815,84352
,We,11/6/2019,7.59,7.59,7.035,7.22,7.9738,7.9026,8.4572,130.272k,87429
,Tu,11/5/2019,7.01,7.5,7.01,7.5,7.979,7.9021,8.4588,127.969k,89611
,Mo,11/4/2019,6.77,7.0954,6.77,7,7.9786,7.8976,8.4592,100.677k,96865
,,,,,,,,,,,
,Fr,11/1/2019,6.7,6.9,6.61,6.76,7.9838,7.9004,8.4633,99726,101.288k
,Th,10/31/2019,6.67,6.791,6.5673,6.72,7.993,7.904,8.4667,76291,121.943k
,We,10/30/2019,6.93,6.93,6.5,6.62,8.004,7.9112,8.4697,72545,118.809k
,Tu,10/29/2019,7.03,7.1383,6.79,6.97,8.0194,7.9188,8.474,56816,115.651k
,Mo,10/28/2019,6.94,7.14,6.79,7.08,8.0274,7.925,8.4765,56252,113.356k
,,,,,,,,,,,
,Fr,10/25/2019,6.81,7.19,6.68,6.94,8.0342,7.9288,8.4794,112.008k,110.538k
,Th,10/24/2019,7.23,7.23,6.82,6.83,8.033,7.9373,8.482,38407,104.175k
,We,10/23/2019,6.87,7.11,6.83,7.11,8.0358,7.947,8.4851,68933,103.99k
,Tu,10/22/2019,6.94,7.01,6.7723,6.88,8.039,7.9519,8.4858,73309,103.699k
,Mo,10/21/2019,6.69,7,6.67,6.88,8.0436,7.9627,8.4872,62812,104.205k
,,,,,,,,,,,
,Fr,10/18/2019,6.76,6.93,6.62,6.67,8.0424,7.9748,8.4875,128.452k,103.526k
,Th,10/17/2019,6.7,6.8,6.46,6.71,8.047,7.989,8.4881,106.967k,99848
,We,10/16/2019,6.7,6.7,6.43,6.55,8.06,8.0023,8.4896,163.004k,95507
,Tu,10/15/2019,6.88,7.09,6.54,6.74,8.0704,8.0176,8.49,236.772k,89481
,Mo,10/14/2019,7.11,7.24,6.88,6.92,8.0744,8.0324,8.4888,167.028k,80127
,,,,,,,,,,,
,Fr,10/11/2019,7.09,7.64,6.81,7.13,8.085,8.0467,8.4861,409.556k,72001
,Th,10/10/2019,8.28,8.28,8.09,8.22,8.101,8.0585,8.4826,29267,50377
,We,10/9/2019,8.13,8.3,8.01,8.29,8.0958,8.0569,8.4718,25176,58015
,Tu,10/8/2019,7.97,8.13,7.7601,8.1,8.094,8.0566,8.4594,22390,65968
,Mo,10/7/2019,8,8.15,7.88,8.08,8.0956,8.0582,8.4517,13987,67760
,,,,,,,,,,,
,Fr,10/4/2019,8.19,8.19,7.97,8.04,8.1,8.0597,8.4424,16572,71614
,Th,10/3/2019,8.06,8.09,7.71,8.09,8.1028,8.0622,8.4339,35629,74696
,We,10/2/2019,8.23,8.32,8.03,8.03,8.1056,8.0615,8.4248,64565,75913
,Tu,10/1/2019,8.85,8.96,8.15,8.34,8.1028,8.0638,8.4174,80894,83349
,Mo,9/30/2019,8.6,8.9,8.33,8.85,8.0942,8.0655,8.4101,52632,84285
,,,,,,,,,,,
,Fr,9/27/2019,8.24,8.72,8.24,8.62,8.0726,8.0564,8.4015,73286,91146
,Th,9/26/2019,8.69,8.78,8.27,8.27,8.0572,8.0528,8.3941,41851,92455
,We,9/25/2019,8.73,8.865,8.3575,8.69,8.0518,8.0558,8.389,72613,99279
,Tu,9/24/2019,8.94,8.94,8.46,8.59,8.0422,8.057,8.3834,96452,105.15k
,Mo,9/23/2019,9.05,9.05,8.88,8.9,8.0336,8.0556,8.3801,45145,110.277k
,,,,,,,,,,,
,Fr,9/20/2019,9.11,9.24,8.96,9.14,8.0196,8.0553,8.375,85203,111.582k
,Th,9/19/2019,8.76,9.13,8.63,9.11,8.0052,8.0525,8.369,143.833k,111.68k
,We,9/18/2019,8.98,9.06,8.58,8.83,7.9908,8.05,8.3643,144.463k,105.017k
,Tu,9/17/2019,8.89,9.0849,8.8,8.99,7.9886,8.0507,8.3592,49275,103.317k
,Mo,9/16/2019,8.91,9.14,8.9,8.99,7.982,8.0478,8.3541,71799,108.609k
,,,,,,,,,,,
,Fr,9/13/2019,9.28,9.355,8.95,9,7.9774,8.0479,8.3497,62805,106.737k
,Th,9/12/2019,9.24,9.36,9.04,9.31,7.9748,8.0487,8.3467,53882,104.437k
,We,9/11/2019,8.98,9.34,8.88,9.33,7.9686,8.0434,8.342,176.104k,105.071k
,Tu,9/10/2019,9.16,9.265,8.95,9.02,7.9714,8.0404,8.338,94935,96756
,Mo,9/9/2019,9.08,9.24,8.87,9.21,7.9774,8.0391,8.3366,155.537k,95738
,,,,,,,,,,,
,Fr,9/6/2019,8.93,9.07,8.7,9.07,7.9578,8.0339,8.3364,92927,97878
,Th,9/5/2019,9.06,9.2,8.76,8.83,7.9372,8.0265,8.3405,144.208k,96412
,We,9/4/2019,8.68,9.09,8.4,9.09,7.9154,8.0206,8.3467,160.677k,93680
,Tu,9/3/2019,8.25,8.66,8.25,8.6,7.8816,8.0141,8.3509,173.364k,88204
,,,,,,,,,,,
,Fr,8/30/2019,8,8.25,7.91,8.22,7.8616,8.0138,8.3557,64719,83749
,Th,8/29/2019,7.75,8,7.73,7.99,7.8484,8.0172,8.363,86676,86137
,We,8/28/2019,7.39,7.67,7.25,7.62,7.8366,8.0259,8.3702,43888,88530
,Tu,8/27/2019,7.45,7.7,7.22,7.48,7.8314,8.0397,8.3776,118.955k,91791
,Mo,8/26/2019,7.3,7.52,7.1456,7.48,7.8252,8.0539,8.3774,128.652k,89141
,,,,,,,,,,,
,Fr,8/23/2019,7.21,7.27,7,7.26,7.8166,8.0718,8.3767,43730,93130
,Th,8/22/2019,7.3,7.38,7.19,7.22,7.817,8.0898,8.376,28296,95046
,We,8/21/2019,7.39,7.5062,7.09,7.27,7.815,8.1064,8.3757,63403,101.123k
,Tu,8/20/2019,7.36,7.41,7.12,7.39,7.8184,8.1186,8.3738,51371,101.69k
,Mo,8/19/2019,7.42,7.55,7.28,7.37,7.8182,8.1296,8.3699,79660,102.79k
,,,,,,,,,,,
,Fr,8/16/2019,6.94,7.49,6.899,7.42,7.8226,8.1406,8.3674,187.65k,100.927k
,Th,8/15/2019,6.93,6.9508,6.76,6.88,7.8234,8.153,8.3632,70933,93599
,We,8/14/2019,7.18,7.4245,6.77,6.97,7.8416,8.1684,8.3627,103.229k,93582
,Tu,8/13/2019,7.2,7.28,6.81,7.27,7.8582,8.1863,8.3624,78538,89508
,Mo,8/12/2019,6.8,7.29,6.75,7.11,7.8648,8.21,8.3606,106.539k,87608
,,,,,,,,,,,
,Fr,8/9/2019,6.9,7.1299,6.8,6.82,7.8818,8.2357,8.3602,100.538k,83548
,Th,8/8/2019,7.5,7.7,6.9,6.9,7.9072,8.2657,8.3667,122.565k,82642
,We,8/7/2019,7,7.38,6.8945,7.36,7.931,8.2944,8.3759,92804,82995
,Tu,8/6/2019,7.09,7.1744,6.78,7.07,7.9446,8.3221,8.386,79203,80777
,Mo,8/5/2019,7.35,7.46,6.86,6.94,7.9648,8.3571,8.3994,188.49k,80656
,,,,,,,,,,,
,Fr,8/2/2019,7.87,8.0268,7.41,7.45,7.9904,8.3819,8.4127,72475,71392
,Th,8/1/2019,7.87,7.94,7.61,7.93,8.0084,8.4056,8.4233,119.446k,69023
,We,7/31/2019,8.2,8.22,7.76,7.96,8.016,8.4255,8.4312,71916,69190
,Tu,7/30/2019,8.11,8.4,7.96,8.2,8.018,8.4404,8.437,67865,72313
,Mo,7/29/2019,8.33,8.33,7.875,8.18,8.0192,8.4537,8.4396,51713,75642
,,,,,,,,,,,
,Fr,7/26/2019,8.21,8.45,7.95,8.3,8.0208,8.4724,8.4473,77726,78123
,Th,7/25/2019,8.1,8.27,7.9134,8.18,8.0194,8.4918,8.4548,70682,76765
,We,7/24/2019,7.85,8.24,7.71,8.23,8.0216,8.5135,8.4638,42127,75712
,Tu,7/23/2019,7.86,7.9899,7.72,7.89,8.0174,8.5376,8.4726,50030,82950
,Mo,7/22/2019,7.82,7.97,7.7,7.91,8.0248,8.5713,8.4861,45643,94964
,,,,,,,,,,,
,Fr,7/19/2019,7.98,7.98,7.73,7.77,8.0368,8.6036,8.4921,86941,164.517k
,Th,7/18/2019,8.07,8.07,7.665,7.85,8.0402,8.6403,8.5,127.869k,167.661k
,We,7/17/2019,8.21,8.21,8,8,8.0484,8.6773,8.5081,59524,165.175k
,Tu,7/16/2019,8.1,8.46,8.065,8.21,8.0598,8.7132,8.5166,77391,165.852k
,Mo,7/15/2019,8.2,8.25,7.9,8.16,8.0718,8.7458,8.5237,49533,166.036k
,,,,,,,,,,,
,Fr,7/12/2019,8.18,8.31,8.11,8.2,8.0776,8.7782,8.5319,36934,169.202k
,Th,7/11/2019,8.4,8.43,8.1,8.42,8.091,8.8079,8.5381,121.957k,171.075k
,We,7/10/2019,8.72,8.84,8.36,8.39,8.0998,8.8339,8.5436,118.764k,165.373k
,Tu,7/9/2019,8.61,8.8687,8.51,8.72,8.1092,8.8586,8.5494,117.801k,162.885k
,Mo,7/8/2019,8.67,8.7599,8.44,8.66,8.1128,8.8805,8.5537,88926,157.534k
,,,,,,,,,,,
,Fr,7/5/2019,8.75,8.78,8.47,8.76,8.1136,8.9027,8.5578,57347,167.63k
,We,7/3/2019,9.05,9.05,8.77,8.87,8.1184,8.9206,8.5625,54894,172.704k
,Tu,7/2/2019,9.48,9.5,8.8,9,8.1226,8.9316,8.5648,150.702k,177.332k
,Mo,7/1/2019,9.39,9.53,9.07,9.47,8.1182,8.9402,8.5652,230.24k,170.646k
,,,,,,,,,,,
,Fr,6/28/2019,8.32,9.32,8.06,9.32,8.1094,8.9444,8.5625,1.089M,160.475k
,Th,6/27/2019,8.04,8.28,7.86,8.23,8.1008,8.9483,8.5585,134.094k,91801
,We,6/26/2019,7.75,8.05,7.7,8.04,8.11,8.9617,8.5591,90588,92997
,Tu,6/25/2019,7.45,7.8,7.38,7.74,8.1158,8.9712,8.5613,69682,89179
,Mo,6/24/2019,7.58,7.82,7.2348,7.4,8.1258,8.9838,8.5646,80148,88659
,,,,,,,,,,,
,Fr,6/21/2019,7.52,7.72,7.4,7.6,8.1466,8.9951,8.5701,97019,91827
,Th,6/20/2019,7.5,7.7285,7.45,7.56,8.166,9.0027,8.5747,65033,90936
,We,6/19/2019,7.32,7.4634,7.3,7.4,8.186,9.0073,8.5811,36427,91872
,Tu,6/18/2019,7.19,7.49,7.19,7.36,8.2152,9.0105,8.5885,81439,97360
,Mo,6/17/2019,7.07,7.37,7.07,7.17,8.248,9.0117,8.5959,37540,102.296k
,,,,,,,,,,,
,Fr,6/14/2019,7.33,7.395,6.79,7.05,8.2826,9.0156,8.6037,240.369k,104.225k
,Th,6/13/2019,7.17,7.41,7.06,7.28,8.327,9.0208,8.6119,133.448k,96319
,We,6/12/2019,7.4,7.57,7.05,7.12,8.3626,9.0261,8.6179,124.314k,91546
,Tu,6/11/2019,7.42,7.55,7.35,7.44,8.3978,9.0294,8.6243,50411,91630
,Mo,6/10/2019,7.64,7.88,7.31,7.38,8.4188,9.0282,8.6296,77673,102.659k
,,,,,,,,,,,
,Fr,6/7/2019,7.52,7.69,7.47,7.59,8.441,9.0292,8.6347,58829,103.679k
,Th,6/6/2019,7.8,7.8274,7.38,7.46,8.4586,9.028,8.6375,152.031k,106.18k
,We,6/5/2019,7.85,7.94,7.69,7.79,8.4826,9.0299,8.6375,33329,101.608k
,Tu,6/4/2019,7.65,7.8399,7.5841,7.8,8.4952,9.0268,8.6363,61882,108.022k
,Mo,6/3/2019,7.9,7.99,7.54,7.6,8.5144,9.0231,8.6336,127.668k,119.946k
,,,,,,,,,,,
,Fr,5/31/2019,7.94,8.19,7.89,7.96,8.5552,9.0196,8.6314,83649,123.591k
,Th,5/30/2019,8.08,8.2,8.08,8.09,8.5896,9.0117,8.6254,79077,132.839k
,We,5/29/2019,8.01,8.16,7.9542,8.09,8.6242,9.0002,8.6186,118.742k,139.41k
,Tu,5/28/2019,8.07,8.14,7.95,8.04,8.6578,8.9873,8.6181,155.479k,139.944k
,,,,,,,,,,,
,Fr,5/24/2019,8.14,8.37,8.06,8.08,8.6996,8.9769,8.618,66479,133.489k
,Th,5/23/2019,8.47,8.47,8.1675,8.22,8.7494,8.9623,8.6134,121.775k,134.624k
,We,5/22/2019,8.26,8.5,8.26,8.35,8.7734,8.9453,8.6088,61851,136.097k
,Tu,5/21/2019,8.09,8.385,8.09,8.31,8.8028,8.9256,8.6027,125.573k,134.968k
,Mo,5/20/2019,7.96,8.2061,7.8,8.06,8.835,8.9067,8.5972,215.844k,132.493k
,,,,,,,,,,,
,Fr,5/17/2019,8.16,8.51,8,8.26,8.8628,8.8867,8.5924,92970,121.883k
,Th,5/16/2019,8.1,8.38,7.99,8.26,8.8882,8.8623,8.5857,96346,118.411k
,We,5/15/2019,8.07,8.33,7.751,8.23,8.924,8.8453,8.5785,83456,117.828k
,Tu,5/14/2019,7.98,8.44,7.82,8.29,8.9642,8.8252,8.5728,129.536k,115.327k
,Mo,5/13/2019,8,8.06,7.66,8.02,9.0054,8.8055,8.5683,240.744k,111.535k
,,,,,,,,,,,
,Fr,5/10/2019,8.44,8.66,8.13,8.26,9.0578,8.7881,8.566,182.337k,101.178k
,Th,5/9/2019,8.17,8.7,7.773,8.51,9.1178,8.771,8.5618,222.377k,97765
,We,5/8/2019,8.15,8.36,7.89,7.94,9.1704,8.7547,8.5574,177.634k,89296
,Tu,5/7/2019,8.47,8.59,8.25,8.26,9.2404,8.7465,8.5556,126.762k,83627
,Mo,5/6/2019,8.59,8.78,8.35,8.57,9.3062,8.7354,8.5514,58646,81879
,,,,,,,,,,,
,Fr,5/3/2019,8.51,8.84,8.5,8.81,9.3666,8.7222,8.5456,83506,88600
