,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,Mo,7/2/2018,7.06,7.285,6.9,7.19,6.931,7.5305,8.9195,147.42k,358.68k
,,,,,,,,,,,
,Fr,6/29/2018,7.21,7.29,6.89,7.08,6.946,7.5462,8.9335,208.628k,357.865k
,Th,6/28/2018,7.29,7.37,7.06,7.16,6.9586,7.559,8.9462,160.227k,348.794k
,We,6/27/2018,7.5,7.585,7.1,7.27,6.9674,7.5712,8.9572,209.845k,343.559k
,Tu,6/26/2018,7.06,7.64,7.06,7.5,6.9766,7.588,8.9653,200.125k,338.573k
,Mo,6/25/2018,7.79,7.79,7,7.03,6.976,7.6108,8.9701,324.194k,330.894k
,,,,,,,,,,,
,Fr,6/22/2018,7.69,8.04,7.65,7.79,6.9842,7.6387,8.9775,1.376M,317.28k
,Th,6/21/2018,8.03,8.3288,7.8,7.92,6.976,7.6585,8.9805,296.264k,231.846k
,We,6/20/2018,7.67,8.34,7.39,8.03,6.9666,7.6778,8.9829,675.242k,221.862k
,Tu,6/19/2018,7.15,7.7,7.01,7.6,6.954,7.7006,8.9833,288.224k,199.532k
,Mo,6/18/2018,6.47,7.5,6.46,7.27,6.9432,7.7283,8.9858,348.157k,190.126k
,,,,,,,,,,,
,Fr,6/15/2018,6.6,6.68,6.42,6.47,6.9386,7.7595,8.9888,476.643k,173.941k
,Th,6/14/2018,6.67,6.81,6.35,6.63,6.951,7.7971,8.9959,328.883k,149.548k
,We,6/13/2018,7,7.02,6.65,6.67,6.9602,7.8339,9.002,223.54k,139.525k
,Tu,6/12/2018,7.17,7.28,6.96,7.04,6.9664,7.8674,9.0082,117.301k,135.071k
,Mo,6/11/2018,6.65,7.14,6.59,7.13,6.9652,7.8945,9.0122,135.2k,135.593k
,,,,,,,,,,,
,Fr,6/8/2018,6.75,6.82,6.58,6.66,6.9682,7.9204,9.0167,72560,136.329k
,Th,6/7/2018,7,7,6.75,6.78,6.9752,7.9493,9.0216,81699,140.274k
,We,6/6/2018,6.74,7,6.66,6.95,6.9828,7.9807,9.0244,135.054k,143.512k
,Tu,6/5/2018,6.53,6.71,6.49,6.7,6.9916,8.0086,9.0241,84949,149.816k
,Mo,6/4/2018,6.64,6.785,6.49,6.54,7.006,8.04,9.0257,119.976k,164.641k
,,,,,,,,,,,
,Fr,6/1/2018,6.85,6.9499,6.57,6.64,7.029,8.0716,9.0302,94002,193.593k
,Th,5/31/2018,6.8,6.93,6.63,6.77,7.057,8.1018,9.0352,146.497k,203.237k
